,Questions,Answers
0,What does HTML stand for,Hyper Text Markup Language
1,What is an element that does not have a closing tag called,Empty element
2,What is an element that have a closing tag called,Closing element
3,What should values always be enclosed in,Quotation marks
4,What is the difference between an opening tag and a closing tag,Closing tag has a / in front
5, Which is the correct way to tag an image,"<img src=""image.gif"" alt=""MyImage"">  "
6,< br  / > What type of tag is this,Break tag
7,How do you produces a line break in text,< br >
8,How to make a heading in html,The <h1> to <h6> tags are used to define HTML headings.<h1> defines the most important heading. <h6> defines the least important heading
9,How to add a background color in html,"<body style=""background-color:choose a color;"">"
10,How to display content in bold,< strong >
11,How to display content in italic,< em >
12,How to make a hyperlink in html,"<a href=""http://www.example.com"">name</a>  "
13,How can you open a link in a new tab/browser window,"<a href=""url"" target=""_blank"">  "
14,what elemnts are used in tables,<table><tr><td>  
15,How to create a table in html,The <table> tag defines an HTML table
16,What does the < tr > element do,The <tr> element defines a table row
17,What does the < th > element do,the <th> element defines a table header
18,What does the < td > element do,the <td> element defines a table cell
19,How to add a row in a table,<tr>  </tr>
20,How to add a header in a table,<th> </th>
21,How to add a cell in a table,<td> </td>
22,How can you make a numbered list,<ol>     </ol>
23,How can you make an unordered list,<ul>     </ul>
24,How to make a checkbox,"<input type=""checkbox"">  "
25,How to create an input text field,"<input type=""text"">  "
26,How to make a drop-down list,"with <select> and here is an example <select name=""cars"" id=""cars"">  <option value=""audi"">Audi </option>  </select>"
27,how to make a text area,"<input type=""textarea"">"
28,How to display an image,"<img src=""image.gif"" alt=""MyImage"">  "
29,How to display a background image,"  <body style=""background-image:url(background.gif)""> "
30,What does <iframe> do ,it is used to display a web page within a web page
31,How to make comments in html, comments start with <!-- and end with -->
32,Which HTML element defines the title of a document,<title>  
33,Which HTML attribute specifies an alternate text for an image,alt
34,Which doctype is correct for HTML,<!DOCTYPE html>
35,Which HTML element is used to specify a footer for a document or section,<footer>  
36,How to add a video file in html,<video>  
37,How to add audio file in html,<audio>  
38,What is the the html global attribute contenteditable  used for,Specify whether the content of an element should be editable or not  
39,What are onblur and onfocus are,Event attributes 
40,What is the HTML <canvas> element is used for,To draw graphics  
41,Which attribute is used to specify that an input field must be filled out,required  
42,Which input type defines a slider control,range 
43,Which HTML element is used to display a scalar measurement within a range,<meter>
44,Which HTML element defines navigation links,<nav> 
45,What does <nav> do,The <nav> HTML element represents a section of a page whose purpose is to provide navigation links
46,What does the <aside> element define,Content aside from the page content
47,Which HTML element is used to specify a header for a document or section,<header>
48,What is an element of HTML,"An element in HTML represents a structure and generally consists of a start tag, content, and an end tag"
49,Where does css go in html,CSS goes inside the <body> element
50,How to add a paragraphe in html,<p> paragraphe here </p>
51,What is the necessary structure in html,"A head section, and within it a title, followed by a body"
52,What is the tag beginning the section of the Web page that is visible to the viewer,<Body>
53,What allows you to transfer your html files to a Web server,FTP which stands for File Transfer Protocol
54,How to create horizontal lines,<hr>
55,How to add a javascript zone in html,"<script src=""..\[folder_name]\[file_name].js""></script>"
56,What type of language is html,Markup Language
57,How to lin css files with html file,<link rel=¨stylesheet¨ type=¨text/css¨ href=¨..\[folder_name]\[file_name].css¨>
58,What tags makes text bold,<b> or <strong>
59,How to add an area in html,The <area> tag defines an area inside an image map
60,How to add a button in html,"<button type=""button"">Click Me!</button>"
61,How to add a caption,The <caption> tag defines a table caption it must be inserted immediately after the <table> tag
62,How to center align text,<center>
63,How to add a date element,"<input type=""date"">"
64,How to add a email element,"<input type=""email"">"
65,How to add a file element,"<input type=""file"">"
66,How to add a number element,"<input type=""number"">"
67,How to add a password element,"<input type=""password"">"
68,What does the element < legend > do ,The <legend> tag defines a caption for the <fieldset> element
69,What does the element < fieldset > do ,The <fieldset> HTML element is used to group several controls as well as labels (<label>) within a web form
70,What should be the first tag in any HTML document,<html>
71,What is the class attribute in HTML,"The class attribute is used to specify the class name for an HTML element. Multiple elements in HTML can have the same class value. Also, it is mainly used to associate the styles written in the stylesheet with the HTML elements"
72, What is the difference between the id attribute and the class attribute of HTML element,"Multiple elements in HTML can have the same class value, whereas a value of id attribute of one element cannot be associated with another HTML element"
73,What does the element <aside> do ,Sidebar content of the page.
74,What does the element <section> do ,It is used inside the article block to define the basic structure of a page
75,What does the element <article> do ,It is a set of information.
76,What does the element <header> do ,Stores the starting information about the web page
77,What does the element <footer> do ,Represents the last section of the page
78,What does the element <nav> do ,The navigation menu of the HTML page
79,What does the element <i> do ,makes text italic
80,What does the element <big> do ,increases the font size of the text by one unit
81,What does the element <small> do ,decreases the font size of the text by one unit
82,What does the element <del> do ,displays as strike out text
83,What does the element <mark> do ,highlights the text
84,What is the significance of <head>,"<head> tag provides the information about the document. It should always be enclosed in the <html> tag. This tag contains the metadata about the webpage and the tags which are enclosed by head tag like <link>, <meta>, <style>, <script>, etc"
85,What is the significance of <body>,"<body> tag defines the body of the HTML document. It should always be enclosed in the <html> tag. All the contents which needs to be displayed on the web page like images, text, audio, video, contents, using elements like <p>, <img>, <audio>, <heading>, <video>, <div>, etc."
86,Can we display a web page inside a web page,"Yes, we can display a web page inside another HTML web page exp: <iframe src=”url of the web page to embed” />"
87,What is cell spacing,Cell Spacing is the space or gap between two consecutive cells.
88,What is cell padding,Cell Padding is the space or gap between the text/ content of the cell and the edge/ border of the cell.
89,How can we club two or more rows into a single row ,"rowspan.    <th rowspan=""2"">Name</th>"
90,How can we club two or more columns into a single column ,"colspan .     <th colspan=""2"">Name</th>"
91,What happens when we use the attribute visibility: hidden,When we use the attribute “visibility: hidden” for an HTML element then that element will be hidden from the webpage but still takes up space
92,What happens when we use the attribute display: none,"if we use the “display: none” attribute for an HTML element then the element will be hidden, and also it won’t take up any space on the webpage"
93,What does the <a> tag do,The anchor tag <a> is used to create a hyperlink to another webpage or to a certain part of the webpage and these links are clickable
94,What dies the <link> tag do,link tag <link> defines a link between a document and an external resource and these are not clickable.
95, When to use scripts in the head and when to use scripts in the body,If the scripts contain some event-triggered functions or jquery library then we should use them in the head section. If the script writes the content on the page or is not inside a function then it should be placed inside the body section at the bottom
96,What are forms,The HTML form is used to collect the user inputs. HTML provides a <form> tag to create forms. To take input from the user we use the <input> tag inside the form so that all collected user data can be sent to the server for processing
97,How to create forms in HTML,"<form action=""/submit_data.php""> </form>"
98,What does the < figure > tag do,"The <figure> tag specifies the self-contained content, like diagrams, images, code snippets, etc. <figure> tag is used to semantically organize the contents of an image like image, image caption, etc."
99,What does the < select > tag do, In the case of <select> tag a user will have to choose from a list of options
100,What does the < datalist > tag do,<datalist> when used along with the <input> tag provides a suggestion that the user selects one of the options given or can enter some entirely different value
101,What are Semantic Elements,"Semantic elements are those which describe the particular meaning to the browser and the developer. Elements like <form>, <table>, <article>, <figure>, etc"
102, What type of audio files can be played using HTML,Mp3 / wav / ogg
103,Which tag is used for representing the result of a calculation,"The <output> tag is used for representing the result of a calculation   The output is: <output name = ""result""></output>"
104,What does DOM stands for,Document Oriented model
105,What are <div> tags used for,To logically divide the document
106,How can we resize the image,Using height and width
107,"When creating a Web document, what format is used to express an image's height and width", Pixels
108,What is the default font-size of HTML document is,4
109,In what format HTML documents are saved,ASCII tex
110,What is the function of the <p> tag,Defines a paragraph.
111,In what extension we should save html files,.html exp :filename.html
112,Which attribut to add to change the color  of visited links in the body tag,"VLINK /VLINK=""#RRVVBB"
113,Which attribut to add to change the color  of links in the body tag,"LINK /LINK=""#RRVVBB"""
114,How to underline a text In html,<U>
115,What does the <PRE> tag do,It allows the respect of retunrs and spaces
116,Which tag allows you to have a typist font,The <TT> tag
117,Which tag allows to have strikethrough text in an HTML document,<S>
118,What does the <blockquote> tag  do,The HTML <blockquote> element defines a section that is quoted from another source
119,What does the <q> tag  do,The HTML <q> tag defines a short quotation.
120,What does the <abbr> tag  do,The HTML <abbr> tag defines an abbreviation or an acronym
121,What does the <cite> tag  do,"The HTML <cite> tag defines the title of a creative work (e.g. a book, a poem, a song, a movie, a painting, a sculpture, etc.)."
122,How to align text in HTML,<p style=”text-align:center/left/right/justify;”>text</p>
123, What is HTML,"HTML stands for Hyper Text Markup Language. It is a language of the World Wide Web. It is a standard text formatting language which is used to create and display pages on the Web. HTML makes the text more interactive and dynamic. It can turn text into images, tables, links. HTML pages are saved by adding .html or .html in web page name."
124, What is the difference between HTML elements and tags,"The element is an individual component of the HTML web page or document. It represents semantics or meaning. For example, the title element represents the title of the document.and tags are the root of the HTML document which is used to specify that the document is HTML. For example, the Head tag is used to contain all the head element in the HTML file."
125, What are Attributes and how do you use them,"Each tag has additional attributes that change the way the tag behaves or is displayed. For example, a <input> tag has a type attribute, which you can use to specify whether it’s a text field, checkbox, radio button or one of many more options. Attributes are specified directly after the name of the tag, inside the two angled brackets. They should only ever appear in opening tags or in self-closing tags. But, they can never be in closing tags."
126, What is the difference between a block-level element and an inline element,"A block-level element is drawn as a block that stretches to fill the full width available to it i.e, the width of its container and will always start on a new line Elements that are block-level by default: <div>, <img>, <section>, <form>, <nav>.Inline elements are drawn where they are defined and only take up space that is absolutely needed. The easiest way to understand how they work is to look at how text flows on a page Examples of elements that are inline by default: <span>, <b>, <strong>, <a>, <input>."
127, When are comments used in HTML,"To understand the code easily, you can add code comments to your HTML document. These are not displayed in the browser, but they help you in leaving notes for yourself and other developers as to what a section of HTML is for. The start of the comment is denoted by <!– and the end is marked by — >. Anything in the middle will be completely ignored, even if it contains valid HTML."
128, What are the HTML tags used to display the data in the tabular form,<table>:It defines a table**<tr>:This tag defines a row in a table**<th>:It defines a header cell in a table**<td>:This is used to define a cell in a table**<caption>:It defines the table caption**<colgroup>:It specifies a group of one or more columns in a table for formatting**<col>:This is used with <colgroup> element to specify column properties for each column**<tbody>:This tag is used to group the body content in a table.**<thead>:It is used to group the header content in a table**<tfooter>:It is used to group the footer content in a table
129, How to create a Hyperlink in HTML,"The HTML provides an anchor tag to create a hyperlink that links one page to another page. These tags can appear in any of the following ways:1/Unvisited link – It is displayed, underlined and blue.2/Visited link – It is displayed, underlined and purple.3/Active link – It is displayed, underlined and red."
130, Name some common lists that are used when designing a page.,"There are many common lists used for design a page. You can choose any or a combination of the following list types: 1/Ordered list – The ordered list displays elements in a numbered format. It is represented by <ol> tag.2/Unordered list – The unordered list displays elements in a bulleted format. It is represented by <ul> tag.3/Definition list – The definition list displays elements in definition form like in a dictionary. The <dl>, <dt> and <dd> tags are used to define description list."
131, What is semantic HTML,Semantic HTML is a coding style. It is the use of HTML markup to reinforce the semantics or meaning of the content. For example: In semantic HTML <b> </b> tag is not used for bold statement as well as <i> </i> tag is used for italic. Instead of these we use <strong></strong> and <em></em> tags.
132,How to create a nested webpage in HTML,"The HTML iframe tag is used to display a nested webpage. In other words, it represents a webpage within a webpage. The HTML <iframe> tag defines an inline frame. For example: <!DOCTYPE html>
<html>
<body>
Use the height and width attributes to specify the size of the iframe:
<iframe src=""<a href=""https://www.edureka.co/"">https://www.edureka.co/</a>"" height=""300"" width=""400""></iframe>
</body>
</html>"
133,What is an image map,An image map is used for linking many different web pages using a single image. It is represented by <map> tag. You can define shapes in images that you want to include as part of an image mapping.
134,Does a hyperlink only apply to text,"No, hyperlinks can be used both on texts and images. The HTML anchor tag defines a hyperlink that links one page to another page. The “href” attribute is the most important attribute of the HTML anchor tag."
135,What is a Style Sheet,"A style sheet is used to build a consistent, transportable, and well-designed style template. You can add these templates on several different web pages. It describes the look and formatting of a document written in the markup language."
136,Explain the layout of HTML.,"HTML layout specifies a way in which the web page is arranged. Every website has a specific layout to display content in a specific manner. Following are different HTML elements which are used to define the different parts of a webpage:
<header>: It is used to define a header for a document or a section.
<nav>: This defines a container for navigation links
<section>: It is used to define a section in a document
<article>: This is used to define an independent, self-contained article
<aside>: It is used to define content aside from the content
<footer>: It is used to define a footer for a document or a section"
137,What is a marquee,"Marquee is used for the scrolling text on a web page. It scrolls the image or text up, down, left or right automatically. You should put the text which you want to scroll within the <marquee>……</marquee> tag."
138,What are the tags used to separate a section of texts,"There are three tags that can be used to separate the texts:
<br> tag – Usually <br> tag is used to separate the line of text. It breaks the current line and conveys the flow to the next line
<p> tag – This contains the text in the form of a new paragraph.
<blockquote> tag – It is used to define a large quoted section. If you have a large quotation, then put the entire text within <blockquote>……….</blockquote> tag."
139,What is the difference between DIV and SPAN in HTML,"The difference between span and div is that a span element is in-line and usually used for a small chunk of HTML inside a line,such as inside a paragraph. Whereas, a div or division element is block-line which is equivalent to having a line-break before and after it and used to group larger chunks of code."
140,What is the purpose of using alternative texts in images,"The purpose of using alternative texts is to define what the image is about. During an image mapping, it can be confusing and difficult to understand what hotspots correspond to a particular link. These alternative texts come in action here and put a description at each link which makes it easy for users to understand the hotspot links easily."
141,How to create a new HTML element,"You can create new elements for the document in the following way:
<script>document.createElement﴾""myElement""﴿</script> or 
<myElement>hello edureka!</myElement>"
142,Is the <!DOCTYPE html> tag considered as a HTML tag,"No, the <!DOCTYPE html> declaration is not an HTML tag.There are many type of HTML, such as, HTML 4.01 Strict, HTML 4.01 Transitional, HTML 4.01 Frameset, XHTML 1.0 Strict, XHTML 1.0 Transitional, XHTML 1.0 Frameset, XHTML 1.1 etc. So, <!DOCTYPE html> is used to instruct the web browser about the HTML page."
143,Why is a URL encoded in HTML,"An URL is encoded to convert non-ASCII characters into a format that can be used over the Internet because a URL is sent over the Internet by using the ASCII character-set only. If a URL contains characters outside the ASCII set, the URL has to be converted. The non-ASCII characters are replaced with a “%” followed by hexadecimal digits."
144,What is the use of an iframe tag,An iframe is used to display a web page within a web page.
145,What are the entities in HTML,The HTML character entities are used as a replacement for reserved characters in HTML. You can also replace characters that are not present on your keyboard by entities. These characters are replaced because some characters are reserved in HTML.
146,Can you create a multi-colored text on a web page,"Yes, we can create a multi-colored text on a web page.  To create a multicolor text, you can use <font color =”color”> </font> for the specific texts that you want to color."
147,How to make a picture of a background image of a web page,"To make a picture a background image on a web page, you should put the following tag code after the </head> tag. <body background = ""image.gif""> Here, replace the “image.gif” with the name of your image file which you want to display on your web page"
148,What is the use of a span tag? Explain with example.,"The span tag is used for following things:
For adding color on text
To add background on text
Highlight any color text"
149,What is the advantage of collapsing white space,"White spaces are a blank sequence of space characters, which is treated as a single space character in HTML. Because the browser collapses multiple spaces into a single space, you can indent lines of text without worrying about multiple spaces. This enables you to organize the HTML code into a much more readable format."
150,Is there any way to keep list elements straight in an HTML file,"By using indents, you can keep the list elements straight. If you indent each sub nested list in further than the parent list, you can easily determine the various lists and the elements that it contains."
151,Explain The Key Differences Between LocalStorage And SessionStorage Objects.,"The key differences between localStorage and sessionStorage objects are as follows:
The localStorage object stores the data without an expiry date. However, sessionStorage object stores the data for only one session.
In the case of a localStorage object, data will not delete when the browser window closes. However, the data gets deleted if the browser window closes, in the case of sessionStorage objects.
The data in sessionStorage is accessible only in the current window of the browser. But, the data in the localStorage can be shared between multiple windows of the browser."
152,When is it appropriate to use frames,"Frames can make navigating a site much easier. If the main links to the site are located in a frame that appears at the top or along the edge of the browser, the content for those links can be displayed in the remainder of the browser window."
153,How to insert a picture into a background image of a web page,"To insert a picture into the background image, you need to place a tag code after the </head> tag in the following way:
<body background = “image.gif”>
Now, replace image.gif with the name of your image file. This will take the picture and make it the background image of your web page."
154,What happens if you open the external CSS file in a browser,"When you try to open the external CSS file in a browser, the browser cannot open the file, because the file has a different extension. The only way to use an external CSS file is to reference it using <link/> tag within another HTML document."
155,What is the hierarchy that is being followed when it comes to style sheets,"If a single selector includes three different style definitions, the definition that is closest to the actual tag takes precedence. Inline style takes priority over embedded style sheets, which takes priority over external style sheets."
